22 17072483 {'mHuman': [0.1295926517571885, 0.8704073482428115, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 18574361 {'mHuman': [0.16932907348242812, 0.8306709265175719, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 18574715 {'mHuman': [0.15694888178913738, 0.8430511182108626, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 18581531 {'mHuman': [0.0463258785942492, 0.9536741214057508, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 18899487 {'mHuman': [0.048522364217252395, 0.9514776357827476, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 18900669 {'mHuman': [0.0924520766773163, 0.9075479233226837, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 18900750 {'mHuman': [0.23662140575079874, 0.7633785942492013, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 18901004 {'mHuman': [0.09444888178913738, 0.9055511182108626, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 18904414 {'mHuman': [0.1625399361022364, 0.8374600638977636, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 18908875 {'mHuman': [0.2685702875399361, 0.7314297124600639, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 19167409 {'mHuman': [0.2356230031948882, 0.7643769968051118, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19419851 {'mHuman': [0.3059105431309904, 0.6940894568690096, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19430472 {'mHuman': [0.17092651757188498, 0.829073482428115, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19431396 {'mHuman': [0.12779552715654952, 0.8722044728434505, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19431485 {'mHuman': [0.3426517571884984, 0.6573482428115016, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19712094 {'mHuman': [0.4882188498402556, 0.5117811501597445, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19747082 {'mHuman': [0.37859424920127793, 0.6214057507987221, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19775287 {'mHuman': [0.4928115015974441, 0.5071884984025559, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19957787 {'mHuman': [0.21705271565495207, 0.7829472843450479, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 19959473 {'mHuman': [0.38318690095846647, 0.6168130990415336, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 20052566 {'mHuman': [0.4700479233226837, 0.5299520766773163, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 20779604 {'mHuman': [0.465055910543131, 0.534944089456869, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 20779768 {'mHuman': [0.4654552715654952, 0.5345447284345048, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 20779946 {'mHuman': [0.0, 1.0, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 20779947 {'mHuman': [0.0, 1.0, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 20780031 {'mHuman': [0.0, 1.0, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 21244940 {'mHuman': [0.16793130990415336, 0.8320686900958466, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 21306743 {'mHuman': [0.32767571884984026, 0.6723242811501597, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 21307058 {'mHuman': [0.21605431309904152, 0.7839456869009584, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 21335606 {'mHuman': [0.09984025559105432, 0.9001597444089456, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 21381646 {'mHuman': [0.2565894568690096, 0.7434105431309904, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 21797094 {'mHuman': [0.07068690095846646, 0.9293130990415336, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.55, 0.25, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 21797102 {'mHuman': [0.05750798722044728, 0.9424920127795527, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 21800042 {'mHuman': [0.05950479233226837, 0.9404952076677316, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 21800444 {'mHuman': [0.05650958466453674, 0.9434904153354633, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 21801588 {'mHuman': [0.05670926517571885, 0.9432907348242812, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22055280 {'mHuman': [0.3304712460063898, 0.6695287539936102, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22055394 {'mHuman': [0.3304712460063898, 0.6695287539936102, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22839559 {'mHuman': [0.21685303514376997, 0.78314696485623, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22841161 {'mHuman': [0.24041533546325877, 0.7595846645367412, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22841841 {'mHuman': [0.2124600638977636, 0.7875399361022364, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22842957 {'mHuman': [0.17751597444089456, 0.8224840255591054, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 22843118 {'mHuman': [0.25339456869009586, 0.7466054313099042, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 22874538 {'mHuman': [0.28913738019169327, 0.7108626198083067, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22899363 {'mHuman': [0.29972044728434505, 0.700279552715655, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22899414 {'mHuman': [0.29512779552715657, 0.7048722044728435, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 22988811 {'mHuman': [0.3899760383386581, 0.6100239616613419, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23466388 {'mHuman': [0.446685303514377, 0.553314696485623, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23503756 {'mHuman': [0.444888178913738, 0.555111821086262, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23504326 {'mHuman': [0.4460862619808307, 0.5539137380191693, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23504658 {'mHuman': [0.4444888178913738, 0.5555111821086262, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23504916 {'mHuman': [0.444888178913738, 0.555111821086262, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23505804 {'mHuman': [0.2290335463258786, 0.7709664536741214, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23505934 {'mHuman': [0.4512779552715655, 0.5487220447284346, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23506135 {'mHuman': [0.4446884984025559, 0.5553115015974441, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23657966 {'mHuman': [0.4261182108626198, 0.5738817891373802, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23657980 {'mHuman': [0.45187699680511184, 0.5481230031948882, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23659043 {'mHuman': [0.3113019169329074, 0.6886980830670927, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23659157 {'mHuman': [0.2128594249201278, 0.7871405750798722, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23659783 {'mHuman': [0.37320287539936103, 0.626797124600639, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 23659864 {'mHuman': [0.49980031948881787, 0.5001996805111821, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24035970 {'mHuman': [0.22543929712460065, 0.7745607028753994, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 24108412 {'mHuman': [0.27016773162939295, 0.729832268370607, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 24178279 {'mHuman': [0.3981629392971246, 0.6018370607028753, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24314006 {'mHuman': [0.3470447284345048, 0.6529552715654952, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24376322 {'mHuman': [0.23901757188498401, 0.7609824281150159, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24936970 {'mHuman': [0.33186900958466453, 0.6681309904153354, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24937487 {'mHuman': [0.3188897763578275, 0.6811102236421726, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24938330 {'mHuman': [0.04133386581469649, 0.9586661341853036, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24938908 {'mHuman': [0.31869009584664537, 0.6813099041533547, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24951086 {'mHuman': [0.06309904153354633, 0.9369009584664537, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 24964128 {'mHuman': [0.31829073482428116, 0.6817092651757188, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 24970107 {'mHuman': [0.3294728434504792, 0.6705271565495208, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 25591278 {'mHuman': [0.13119009584664537, 0.8688099041533547, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 25756674 {'mHuman': [0.18670127795527156, 0.8132987220447284, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 25757268 {'mHuman': [0.16892971246006389, 0.8310702875399361, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 26777025 {'mHuman': [0.4235223642172524, 0.5764776357827476, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 26777440 {'mHuman': [0.3490415335463259, 0.6509584664536742, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 26778461 {'mHuman': [0.330870607028754, 0.669129392971246, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 26853905 {'mHuman': [0.17272364217252395, 0.827276357827476, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 26854441 {'mHuman': [0.17252396166134185, 0.8274760383386581, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 26859942 {'mHuman': [0.20686900958466453, 0.7931309904153354, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 26877981 {'mHuman': [0.2104632587859425, 0.7895367412140575, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 26887829 {'mHuman': [0.1625399361022364, 0.8374600638977636, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 26895337 {'mHuman': [0.222444089456869, 0.777555910543131, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 28374219 {'mHuman': [0.44868210862619806, 0.5513178913738019, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 29168755 {'mHuman': [0.4904153354632588, 0.5095846645367412, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 29446611 {'mHuman': [0.4836261980830671, 0.5163738019169329, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 29451793 {'mHuman': [0.4335063897763578, 0.5664936102236422, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 29711251 {'mHuman': [0.0, 1.0, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 29727866 {'mHuman': [0.4680511182108626, 0.5319488817891374, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 29885861 {'mHuman': [0.18170926517571884, 0.8182907348242812, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 29887186 {'mHuman': [0.26936900958466453, 0.7306309904153354, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 29999878 {'mHuman': [0.1297923322683706, 0.8702076677316294, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 30126644 {'mHuman': [0.3624201277955272, 0.6375798722044729, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 30681257 {'mHuman': [0.08945686900958466, 0.9095447284345048, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 30752696 {'mHuman': [0.40435303514376997, 0.59564696485623, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 30771554 {'mHuman': [0.013578274760383386, 0.9864217252396166, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 30774340 {'mHuman': [0.0878594249201278, 0.9121405750798722, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 30820077 {'mHuman': [0.3634185303514377, 0.6365814696485623, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 30857373 {'mHuman': [0.22344249201277955, 0.7765575079872205, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 30857448 {'mHuman': [0.22803514376996806, 0.771964856230032, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 31032309 {'mHuman': [0.384185303514377, 0.615814696485623, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 31032920 {'mHuman': [0.37480031948881787, 0.6251996805111821, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 31530957 {'mHuman': [0.2681709265175719, 0.7318290734824281, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 31602139 {'mHuman': [0.16074281150159744, 0.8392571884984026, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 32329671 {'mHuman': [1.0, 0.0, 0.0], 'Pan': [0.0, 1.0, 0.0], 'Pongo': [0.0, 1.0, 0.0], 'Gorilla': [0.045454545454545456, 0.9545454545454546, 0.0]} missing in isoform tbl
22 32907721 {'mHuman': [0.45067891373801916, 0.5493210862619808, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 32908291 {'mHuman': [0.284944089456869, 0.715055910543131, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 32908738 {'mHuman': [0.43929712460063897, 0.560702875399361, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 36007045 {'mHuman': [0.43570287539936103, 0.564297124600639, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
